RaceID,Race Type,Team,Reaction Time,Split Time,Race Time,Combined Time
2,Manual, LANE 1, 0.230,DNF,DNF,DNF
2,Manual,LANE 2,0.170,DNF,DNF,DNF
3,Manual, LANE 1, 0.193,DNF,DNF,DNF
3,Manual,LANE 2,0.176,DNF,DNF,DNF
4,Manual, LANE 1, 0.335,DNF,DNF,DNF
4,Manual,LANE 2,0.218,DNF,DNF,DNF
5,Manual, DANIEL, 0.181,DNF,DNF,DNF
5,Manual,HUGH,0.188,DNF,DNF,DNF
6,Manual, DANIEL, 2.445,DNF,DNF,DNF
6,Manual,HUGH,0.181,DNF,DNF,DNF
7,Manual, DANIEL, 0.200,DNF,DNF,DNF
7,Manual,HUGH,0.171,DNF,DNF,DNF
10,Reaction, DANIEL, 0.197,0.000,0.000,0.000
10,Reaction,HUGH,0.172,0.000,0.000,0.000
11,Reaction, VARUN, 0.339,0.000,0.000,0.000
11,Reaction,HARINI,DNF,0.000,0.000,0.000
12,Reaction, VARUN, 0.227,0.000,0.000,0.000
12,Reaction,HARINI,DNF,0.000,0.000,0.000
13,Reaction, VARUN, 0.137,0.000,0.000,0.000
13,Reaction,HARINI,DNF,0.000,0.000,0.000
14,Reaction, VARUN, 0.184,0.000,0.000,0.000
14,Reaction,HARINI,0.410,0.000,0.000,0.000
15,Reaction, VARUN, 0.172,0.000,0.000,0.000
15,Reaction,HARINI,0.187,0.000,0.000,0.000
16,Reaction, VARUN, 0.188,0.000,0.000,0.000
16,Reaction,HARINI,0.195,0.000,0.000,0.000
18,Reaction, VARUN, 0.171,0.000,0.000,0.000
18,Reaction,HARINI,0.247,0.000,0.000,0.000
19,Reaction, VARUN, 0.199,0.000,0.000,0.000
19,Reaction,HARINI,0.176,0.000,0.000,0.000
20,Reaction, VARUN, 0.156,0.000,0.000,0.000
20,Reaction,HARINI,0.162,0.000,0.000,0.000
21,Reaction, VARUN, 0.193,0.000,0.000,0.000
21,Reaction,HARINI,DNF,0.000,0.000,0.000
22,Reaction, VARUN, 0.169,0.000,0.000,0.000
22,Reaction,HARINI,DNF,0.000,0.000,0.000
23,Reaction, VARUN, 0.204,0.000,0.000,0.000
23,Reaction,HARINI,0.187,0.000,0.000,0.000
24,Reaction, VARUN, 0.298,0.000,0.000,0.000
24,Reaction,HARINI,0.221,0.000,0.000,0.000
25,Reaction, VARUN, 0.157,0.000,0.000,0.000
25,Reaction,HARINI,0.182,0.000,0.000,0.000
26,Reaction, MATT, DNF,0.000,0.000,0.000
26,Reaction,JOSH,0.250,0.000,0.000,0.000
27,Reaction, MATT, 0.410,0.000,0.000,0.000
27,Reaction,JOSH,DNF,0.000,0.000,0.000
28,Reaction, MATT, 0.189,0.000,0.000,0.000
28,Reaction,JOSH,0.202,0.000,0.000,0.000
29,Reaction, MATT, 0.220,0.000,0.000,0.000
29,Reaction,DANIAL,0.186,0.000,0.000,0.000
30,Reaction, MATT, 0.216,0.000,0.000,0.000
